gene_ID	log10_9am	pvalue_9am	log10_9pm	pvalue_9pm
AT1G17890	-0.001414413	0.442923708	-0.00353591	0.424999462
AT1G17940	0.09683864	1	0.000804623	0.468407737
AT1G18040	-0.154908001	1	0.000804623	0.468407737
AT1G18060	0.009120504	0.241770445	-0.019199917	0.212453077
AT1G18070	0.016965699	0.146347358	-0.000115505	0.495400711
AT1G18080	0.0221108	0.249017528	-0.000681767	0.480085289
AT1G18150	0.010932599	0.185530142	0.013098697	1
AT1G18170	0.003102682	0.213951041	-0.008105494	0.320281855
AT1G18210	0.017661064	0.174953813	0.014483497	0.151928308
AT1G18250	0.010932599	0.185530142	-0.085920877	1
AT1G18260	0.124512898	1	0.133601927	1
AT1G18270	0.028943645	0.069697929	0.018075483	0.170121881
AT1G18450	-0.00683795	0.374009261	-0.008850058	0.304332901
AT1G18490	0.112915643	1	0.017828809	1
AT1G18500	-0.002590789	0.385451688	-0.017688361	0.168422949
AT1G18540	0.003476665	0.393471574	-0.013892814	0.038254038
AT1G18590	-0.010994215	0.278615019	-0.009244228	0.321688102
AT1G18640	0.031741629	1	0.005051495	1
AT1G18660	0.010932599	0.185530142	-0.109258691	0.008051809
AT1G18730	0.135989691	1	0.132712624	0.000857772
AT1G18800	0.010932599	0.185530142	0.000804623	0.468407737
AT1G18840	0.010932599	0.185530142	0.000804623	0.468407737
AT1G18890	0.010932599	0.185530142	0.000804623	0.468407737
AT1G19130	-0.03515956	1	-0.000743174	0.48862745
AT1G19140	0.002411732	1	0.005884891	1
AT1G19150	0.05117064	1	0.046088235	1
AT1G19450	0.03969319	1	0.122374631	0.06558131
AT1G19550	0.01481593	0.045501695	-0.018948266	0.102884839
AT1G19570	0.015195305	0.007240748	-0.020954194	0.124126998
AT1G19580	0.011059321	0.131519088	-0.01558978	0.137156744
AT1G19670	-0.005000763	0.289841651	-0.022384998	0.078782016
AT1G19690	0.010932599	0.185530142	0.111143424	1
AT1G19720	0.010932599	0.185530142	-0.147430735	1
AT1G19730	0.010932599	0.185530142	0.047573045	1
AT1G19740	-0.00629729	0.427718417	0.107001067	1
AT1G19835	0.010932599	0.185530142	-0.047065568	1
AT1G19880	-0.014101654	1	0.000804623	0.468407737
AT1G19920	0.00080381	0.470459378	0.001957719	0.372262666
AT1G20010	-0.001787283	0.414846768	7.4138E-05	0.49808376
AT1G20020	-0.007816865	0.242407415	-0.008339821	0.232320112
AT1G20090	0.010932599	0.185530142	0.106057466	1
AT1G20110	0.068763161	1	-0.097041382	1
AT1G20160	0.010932599	0.185530142	0.070578997	1
AT1G20190	0.18486097	1	0.000804623	0.468407737
AT1G20200	0.021788991	0.133557155	-0.017124527	0.081512214
AT1G20220	0.010932599	0.185530142	0.049275826	1
AT1G20225	0.010563029	0.147228685	-0.001871924	0.429318912
AT1G20260	0.007806096	0.170176338	-0.005041282	0.307773488
AT1G20330	0.011357562	0.170268053	-0.02972241	0.137890721
AT1G20340	-0.014352848	0.022544881	0.000585379	0.45591997
AT1G20440	-0.029165011	1	-0.001201757	0.480863666
AT1G20450	0.103594381	1	-0.025368957	1
